question_number,answer,question_type,question_id,is_new,learning_outcome,bloom_level
q43,d,mc,c7505fbb,0,LO22_thermodynamics,remember
q44,d,mc,2c7681c5,0,LO25_electron_transport,remember
q45,b,mc,28d492a8,0,LO34_mendelian_genetics,remember
q46,d,mc,a636cf2b,0,LO35_dominance_extensions,apply
q47,d,mc,b57fd03c,0,LO31_mitosis,remember
q48,c,mc,e04805d8,0,LO32_meiosis,apply
q49,d,mc,ba8288d1,0,LO34_mendelian_genetics,apply
q50,c,mc,32ba6df3,0,LO31_mitosis,understand
q51,b,mc,014a6102,0,LO31_mitosis,understand
q52,b,mc,7514413e,0,LO33_cell_cycle_regulation,understand
q53,a,mc,5c6d7e05,0,LO30_chromosomes_cell_cycle,remember
q54,e,mc,f40268ab,0,LO34_mendelian_genetics,apply
q55,b,mc,43658aa9,0,LO34_mendelian_genetics,apply
q56,d,mc,ff7c84b3,0,LO30_chromosomes_cell_cycle,understand
q57,c,mc,762155a8,0,LO38_sexual_reproduction,understand
q58,c,mc,79a94e40,0,LO34_mendelian_genetics,apply
q59,c,mc,0c8b0814,0,LO45_rna_processing,understand
q60,b,mc,817fd0c8,0,LO45_rna_processing,understand
q61,b,mc,e9cfabb4,0,LO44_translation,remember
q62,c,mc,213e3fb3,0,LO43_transcription,remember
q63,c,mc,4cc09e8c,0,LO50_transposons,remember
q64,a,mc,53d25245,0,LO39_dna_structure,apply
q65,c,mc,00c0f2f0,0,LO50_transposons,remember
q66,c,mc,5a1cf0a9,0,LO48_operons,understand
q67,b,mc,4c21257a,0,LO47_gene_regulation,remember
q68,d,mc,0bf2d3f8,0,LO47_gene_regulation,understand
q69,b,mc,6cd770d2,0,LO48_operons,analyze
q70,b,mc,31618413,0,LO41_telomeres,understand
q71,b,mc,8edc98f6,0,LO40_dna_replication,remember
q72,b,mc,f91c0e46,0,LO40_dna_replication,understand
q73,d,mc,fdc6beb7,0,LO45_rna_processing,understand
q74,e,mc,89336d75,0,LO39_dna_structure,apply
q75,e,mc,3c19f2b0,0,LO51_biotechnology,understand
q76,a,mc,1d5526b5,0,LO51_biotechnology,understand
q77,c,mc,novel-bt01,1,LO51_biotechnology,understand
q78,a,mc,novel-bt04,1,LO51_biotechnology,understand
q79,b,mc,novel-bt05,1,LO51_biotechnology,understand
q80,b,mc,novel-bt06,1,LO51_biotechnology,apply
q81,b,mc,novel-bt07,1,LO51_biotechnology,understand
q82,b,mc,novel-bt08,1,LO51_biotechnology,understand
q83,d,mc,novel-bt10,1,LO51_biotechnology,analyze
q84,b,mc,novel-bt11,1,LO51_biotechnology,remember
q85,c,mc,novel-bt12,1,LO51_biotechnology,understand
q86,d,mc,8c29a261,0,LO20_signaling,remember
q87,d,mc,411d384a,0,LO14_organelles,understand
q88,a,mc,860abf64,0,LO24_krebs_cycle,remember
q89,b,mc,2788ea43,0,LO28_calvin_cycle,understand
q90,a,mc,b579339b,0,LO37_genetic_linkage,remember
q91,b,mc,d53a452b,0,LO45_rna_processing,understand
q92,b,mc,novel-suppl-A3,1,LO10_nucleic_acids,remember
q93,d,mc,novel-suppl-B2,1,LO17_diffusion_osmosis,understand
q94,c,mc,novel-suppl-C3,1,LO26_fermentation,understand
q95,b,mc,novel-suppl-D2,1,LO34_mendelian_genetics,apply
q96,b,mc,novel-suppl-D3,1,LO34_mendelian_genetics,analyze
q97,b,mc,novel-suppl-E1,1,LO43_transcription,remember
q98,d,mc,novel-suppl-E2,1,LO42_mutation,understand
q99,b,mc,bio155-2025-e05q09,1,LO13_cell_structure,understand
q100,b,sa,bio202-pretest-pigment-locus,1,LO35_dominance_extensions,analyze
